,tweet,label,label_binary
50,@groovinshawn they are rechargeable and it normally comes with a charger when u buy it :),positve,1
51,#FollowFriday @France_Espana @reglisse_menthe @CCI_inter for being top engaged members in my community this week :),positve,1
52,Well she's asleep and I have no one to talk to sooo someone text me :),positve,1
53,"@brynybrath @smallcappy Yes, I suppose. I bet he'll have a blue fit after hearing her speech today. Pity :-)",positve,1
54,"Green gardens, midnight sun, beautiful canals dasvidaniya till next visit.:)",positve,1
55,@KeithRParsons are you scouting SG for a future WLAN pros conference here in Asia? :),positve,1
56,"@Cecilie_Hell @420evilangel @wazimotometal @durooooooo @spigranty Good for u, better change it to lollipop 🍭 :).",positve,1
57,We &lt;3 u Nez :) #AGNEZMO https://t.co/cGViMHSINz,positve,1
58,@LittleMix Follow me Please :)  This is my Big Dream :),positve,1
59,@Elemaaan  oley be :D,positve,1
60,"""@CowokAddict: Mama is the only reason why I stand stronger up to now! :)""",positve,1
61,@MacatangayApril  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),positve,1
62,"@tk_kjk_kndr @boukendreamer OH MY GOD MISTY, MY BABY IS SO CUTE!!! :D",positve,1
63,"@BhaktisBanter 

I love blue :)
#FlipkartFashionFriday http://t.co/HnbinH35ES",positve,1
64,"@CarcassDrop Woohoo! Can't wait :) Have you signed up yet, or still thinking about it? MKa",positve,1
65,i have liam access now :)),positve,1
66,@SyuhxdxTengku most welcome :),positve,1
67,Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/p6K6SiH58a.,positve,1
68,@sluttywife2 you shouldn't be surprised...you have an amazing figure :),positve,1
69,#FollowFriday @murtishaw @aqui_fr @FRTechStartups for being top influencers in my community this week :),positve,1
70,"#HappyBirthdayEmilyBett @emilybett :) Wishing you all the best you beautiful,sweet,talented,amazing… https://t.co/humtC1tr3I",positve,1
71,2 plans for the day down the drain great :):,positve,1
72,@x123456789tine @5SOS_FAHUpdates gotta love timezones :p,positve,1
73,"are your parents proud of you — lol, not in the least :D maybe sometimes they get happy because of my grades, al... http://t.co/bJjeGIOOGU",positve,1
74,Grande :)  https://t.co/gsaaxNpR8u,positve,1
75,Manila_bro has chosen to follow me on Twitter! http://t.co/lKXZWXN1fb. Thanks for the follow :),positve,1
76,@syazwanzainal sure let me know when you're around..at this side of the world #eh u too take care :-),positve,1
77,#FollowFriday @michae1green @superninjaalan @Doug_Laney for being top new followers in my community this week :),positve,1
78,finally the fucking weekend :),positve,1
79,REAL :),positve,1
80,@LoLEsportspedia thanks :D,positve,1
81,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x45",positve,1
82,YES! I Joined #HushedCallWithFraydoe for a call &amp; gift from @_Fraydoe &lt;3 Gotta Get @HushedApp :D http://t.co/VaLVe8omdT,positve,1
83,@YasLarry yeahhh :),positve,1
84,can I DM you &amp; make your night better :))),positve,1
85,just joined the #HushedPinWithSammy Event :D Might get to Text with @SammyWilk for a day! Luv U @HushedApp http://t.co/kGfgawdHy9,positve,1
86,Would really appreciate it if you share this video around :) https://t.co/MhK3B3wOpQ,positve,1
87,Hello :) Get Youth Job Opportunities follow &gt;&gt; @tolajobjobs @xhebenkewu_9920,positve,1
88,@TomParker oh wow!! That is beautiful tom :),positve,1
89,Love You @darlingIXHAI22 @SyreenAnne :)) https://t.co/wx7yRrE7sV,positve,1
90,I added a video to a @YouTube playlist http://t.co/HVVPhSYakA im back on twitch and today it going to be league :) - 1 / 3,positve,1
91,#FollowFriday @AmericanOGrain @PecomeP @APaulicand for being top supports in my community this week :),positve,1
92,@ZaynZaynmalik30  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),positve,1
93,Gym Monday can't wait :). Likes,positve,1
94,"@HarNiLiZaLouis Hey, here's your invite to join Scope as an influencer :)  http://t.co/rZgZtQ2fJT",positve,1
95,Those friends know themselves :),positve,1
96,waiting for nudes :-),positve,1
97,@JacobWhitesides go sleep u ! :))))))))),positve,1
98,Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/RB8pMNgMEo.,positve,1
99,My birthday is a week today! :D,positve,1
100,@metalgear_jp @Kojima_Hideo I want you're T-shirts ! They are so cool ! :D,positve,1
101,@AxeRade haw phela if am not looking like Mom obviously am looking like him :),positve,1
102,@zaynmalik prince charming on stage :) x https://t.co/OnVFhzt5fZ,positve,1
103,i have really good luck :),positve,1
104,Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/XzsOGaC4zK.,positve,1
105,#FollowFriday @straz_das @DCarsonCPA @GH813600 for being top engaged members in my community this week :),positve,1
106,@twentyonepilots @fujirock_jp tylers hipster glasses :D,positve,1
107,"@MartyRafenstein 

Hey Marty !! Glad to see on Twitter. :)",positve,1
108,@UKBusinessLunch Hi we will be joining you again today :),positve,1
109,@LAfitnessUKhelp done thanks :-),positve,1
110,"Its already afternoon, lets read Al Kahfi before the day finish :)",positve,1
111,OhmyG! yaya dub @mainedcm im done doing to stalk your ig accnt.. GONDOOO MOO TOLOGOOO :) HAHA,positve,1
112,@rozbabes Here's your invite to become a Scope influencer :) Details here: http://t.co/ipJ2yOiGet,positve,1
113,#FollowFriday @NGourd @Locita @D_Robert_Kelly for being top influencers in my community this week :),positve,1
114,@kevinthewhippet @Cassie_Spaniel @Bracken_Nelson @BellisimoBella1 @SpanielHarry thanks :) zzz xx,positve,1
115,Physiotherapy Friday is my hashtag for today. Custom! :-),positve,1
116,"@Cjlopez21 you know I will 💪 Monica and I miss you to, yeah sounds good to me :)",positve,1
117,"""Good morning, beautiful :)"" That's all it takes.",positve,1
118,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x43",positve,1
119,@MandaScapinello oh yeah?? I am definitely going to try it tonight then! :) we took your advice too! We are in Treviso now!,positve,1
120,@morallosanthony  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),positve,1
121,@NIKKIERIOZZI Hi! Would you like an @imPastel concert? Let me know your city and country and I'll start working on it! Thanks :),positve,1
122,"Fine, 
...Have a gorgeous Friday, friend!!..; xo..-:)) https://t.co/JmpkZP2DaI",positve,1
123,"Oven roasted garlic in olive oil, sun dried tomatoes, some dried basil, and century tuna :) https://t.co/EsCc9QhLob",positve,1
124,@HostMyOffice @NigelPWhittaker @lemezma @TWBC_Business @_TheBunkerJL Right back atchya!  Have a great day everyone :),positve,1
125,@TeamTall17 @FlashHayer  but doesn't even follow back :-),positve,1
126,The future is almost here then :) https://t.co/rolE3ZCL97,positve,1
127,#FollowFriday @Michelploria @MyFrenchCity @jasoncreation for being top new followers in my community this week :),positve,1
128,No chance :),positve,1
129,@ChiAB2486 @MrCliveC @PCDKirkwood @DC_ARVSgt @COPS_President @EmWilliamsCCCU @LauraRGallagher @Hall11Kate @LaMinx541 @JohnTarbet71 cheers :),positve,1
130,@thatguycalledP go po for ice cream :)),positve,1
131,@19strawberry66 I agree 100% :),positve,1
132,@SpazzyTsukihara hehehehe thats the point :p,positve,1
133,@KalinWhite next time just stay home :),positve,1
134,@Gculloty87 thanks :),positve,1
135,#FollowFriday @digitalplace2be @intlboost @_lafontpresse for being top supports in my community this week :),positve,1
136,"@stayfaboo it will be up soon, i promise :)",positve,1
137,Web Whatsapp volta a funcionar com iPhone jailbroken. :-),positve,1
138,@crustyolddeen (I plan on watching it later) at 34 mins Leia appears as a hologram from R2D2 w a message for Obi Wan as he sits w Luke :),positve,1
139,"@Mburu__ Inter 3 UCL, Arsenal... Small team, Right! :)",positve,1
140,"Just passing by :) 🚂 (@ Dewsbury Railway Station (DEW) - @nationalrailenq in Dewsbury, West Yorkshire) https://t.co/DvBssHbrfx",positve,1
141,@ClearlyArticle :) its 430 am smh,positve,1
142,@uptommosass it's 9:25 am here :) I live in Scotland :) it's strange to imagine what?- Megan xx,positve,1
143,"@bookmyshow 

 !
#MasaanToday
#MasaanToday

A4.... Shweta Tripathi  
 !
#MasaanToday
#MasaanToday

-.:-) .-..,",positve,1
144,@WforWoman 5. Over 20 W kurtas! And my Mom has about half the number I have :D #WSaleLove,positve,1
145,Ah! Hello back Larry! @TransworldBooks :) https://t.co/8XhjJb4jtH,positve,1
146,Anyway my Friday is looking kinda gooood :),positve,1
147,@jhun_hunyo  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),positve,1
148,Lol. Well. That's life :) thank God it enn you  https://t.co/GLoCEIjGQQ,positve,1
149,@OJBJ @holmesjsamuel surely this could be your warmup this morning ??? Coming on 15th to Bath :) xx,positve,1
150,"Dum Dum Andar - Ram Sampath, Sona Mohapatra &amp; Samantha Edwards Mein Tulane to razi razi, Wah! That's Josh :) http://t.co/ul8MARDfhm",positve,1
151,@justinbieber :) always smile,positve,1
152,@darlakim_ picture. :),positve,1
153,"@arsenalnewsasit Thanks again, your time 16.20 right? That's perfect timing for me here :).",positve,1
154,#FollowFriday @IzywayLesExpats @na4innov @InXpressCoAzur for being top engaged members in my community this week :),positve,1
155,@Juleeyaanaa i know :)),positve,1
156,#GiveItUp We have already given up our gas subsidy long back when this initiative was proposed.. Feeling so delighted having done that!! :),positve,1
157,@dayloladay I missed this yesterday!! :-),positve,1
158,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x42",positve,1
159,@jaimeemelanie_ lmaoo! The best songs ever &lt;3 We shall have our own little throwback this week (y) :p,positve,1
160,"@Clazziebritchas then go to the outlying islands, such as Cheung Chau, Mui Wo....totally different :))",positve,1
161,#KFCkitchentours Kitchen is so clean. I'm totally amazed :) @KFC_India,positve,1
162,@cybelxxx  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),positve,1
163,"@Jana7380 on the cusp of testing the waters, hope yours is rewarding :)",positve,1
164,#FollowFriday @BroadcastBeat @InSunWeTrust @conseilsmkg for being top influencers in my community this week :),positve,1
165,"arummzz: Let's go... I'll drive for you :p

#traveling #traveler #yogyakarta #jeep #Indonesia #instamood… https://t.co/s7y4Ys5JeU",positve,1
166,Anyone wanna skype me? :D,positve,1
167,"@agylyxa may i look so, bit i am a real nice friendly girl :-)",positve,1
168,Im not like them. But i can pretend~ :),positve,1
169,watching where we are concert film :),positve,1
170,"Congratulations @amisharanka95, you're the winner to our #CheesyDelights contest :)
Please DM us your address and contact number!",positve,1
171,:) Have a great weekend guys! https://t.co/DLDKLpeTAb,positve,1
172,#FollowFriday @CLARAROJASG @BF_P2C @MyBusiness_Plan for being top new followers in my community this week :),positve,1
173,@PuaMagasiva it was cool seeing you film today! :),positve,1
174,Check out Email Marketing 24/7:  http://t.co/O5fjR7oEqk you won't regret if you buy it :),positve,1
175,"@vineshpomal LOL. Come join us ... See u in around 14 hours if u leave now, without delays. :)",positve,1
176,"Actually very easy doing like this, it must be a station I guess where the train 'wd take at least an hour for shifting its engine etc :-)",positve,1
177,sunburn is peeling :-),positve,1
178,@Sexdate_gratis Visit my blog http://t.co/UzOAqroWKx thanks :D,positve,1
179,@TikoSD Hi! Would you like an @imPastel concert? Let me know your city and country and I'll start working on it! Thanks :),positve,1
180,@no1_razorstan then talk to me. I can help you :),positve,1
181,"""@CassTheTrainer: A Huge &amp; Warm Welcome to @VodkaBlond :-))""

☆ finally we complete the triangle ! ☆",positve,1
182,@LucienneDiver I live in Northern Ireland. :) what sights have you seen?,positve,1
183,@Mecastor01Mica  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),positve,1
184,#FollowFriday @Z_Intl_Agency @Tivipro @compexly for being top supports in my community this week :),positve,1
185,Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/6prugvmOuC.,positve,1
186,"@imraina feeling smthng smthng fr u...lol...wanna hug u....XOXO...love uu jaann take care :* :)) &lt;3 :"")",positve,1
187,thanks mom :),positve,1
188,Thanks #TopNewFollowers @BestOfFicPad @MrCFluegel @JeanMarcPN Happy to connect :),positve,1
189,"@MooseAllain @MeatBingo that is the just most wonderful thing, it's made me feel all fluffy inside. Great pirouette, Moose :D",positve,1
190,@KristophCajon I have a trip to philly in December so after that :) I'd love to come out there dude.,positve,1
191,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x41",positve,1
192,The question is flawed. Pain doesn't negate strength :)  https://t.co/77TbkS2Djw,positve,1
193,@ReflectKnives You went solo because these moves weren't being made :D,positve,1
194,hey my fav nirvana song is smells like teen spirit rip amy winehouse :-))))),positve,1
195,#FollowFriday @CCIdeLYON @CCI_95 @CPNERI_ESIGROUP for being top engaged members in my community this week :),positve,1
196,"Let's go... I'll drive for you :p

#traveling #traveler #yogyakarta #jeep #Indonesia #instamood… https://t.co/s7y4Ys5JeU",positve,1
197,did we name the couple yet?? #TomHiddleston #ElizabethOlsen ?? #yaytheylookgreat :)),positve,1
198,I love you all goodnight. Vid going up when I wake up you all with love this one :),positve,1
199,This weekend I am gonna shoot the lovely @NarakuBrock again &lt;3! Here a picture I made of her last time :D http://t.co/s3e2dmpt24,positve,1
200,anyway :-),positve,1
201,Itty Bitty Teenie Bikini  :) http://t.co/A2oxW0ZI3g http://t.co/jn7KSfHwRc,positve,1
202,I just joined the #HushedPinWithSammy Event :D Might get to Text with @SammyWilk for a day! Luv U @HushedApp http://t.co/czdow1i44W,positve,1
203,"Always so much fun when 4th hour gets together. :) 

Ending the night with ice cream and Xfiles. 

Content.",positve,1
204,@aangelayap easy :D,positve,1
205,"@NTtownend yes, be surprised if we don't see a bit of rain today... :)",positve,1
206,@ReyesFraulein  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),positve,1
207,To all @fatpunkstudio have a fabulous Friday and keep up the fantastic work!! :)),positve,1
208,@justinbieber can you please follow me @caitecat1209 ♡♡♡♡ please jb follow me I love you always and forever. I'm a belieber ♡♡♡♡ :) I love u,positve,1
209,#FollowFriday @DiploMix @CCI_entreprises @CCI_92 for being top influencers in my community this week :),positve,1
210,Morning all! :),positve,1
211,@FranchiSeedsUK good to hear :),positve,1
212,@LusciousLyndee1 Nighty night! Don't let the bed bugs bite :D,positve,1
213,@Bonsplansblog Very beautiful this bracelet! good idea :),positve,1
214,@guywilliamsguy waiting for you at the foundry. Where you at?? :),positve,1
215,@KalinWhite I like that game :),positve,1
216,@suzannepanter @kevinbacon @katosman Ah! Now it makes sense... Didn't see the pic on my effing phone last night. Woot :) x,positve,1
217,"@Derek_GTA Hi Derek, you could try using ParkShare in Gloucestershire http://t.co/qIF9AyAlkc :)",positve,1
218,"Aaaahhh man, this track is a traffic stress reliever. :)",positve,1
219,#FollowFriday @elevents2 @JoussotFrench_J @NYIBF for being top new followers in my community this week :),positve,1
220,@El1neW How're you today my dear? :),positve,1
221,@Jesutomisin I hear you guys want Arbeloa. :D,positve,1
222,@ShawnMendes turning 17 in 15 days...omg. at least we have only 3 years difference :),positve,1
223,"@matteomeacci Well, they say Europe is on the rise again, but I find that hard to believe :)",positve,1
224,@WforWoman #WSaleLove uncountable coz we love unlimited :),positve,1
225,"Yes, of course :) #TeamPositive https://t.co/SaIX1VpFJF",positve,1
226,yes i love :-) #AlDub,positve,1
227,@coffeebreak22 @LauRenArren @drparkave @JWKanyuira1969 @dheracing @RhoaChri @BarbaraBathurst @1cryingeye @willisteam :) ☕☕☕ Thank you Rita!,positve,1
228,"@mikerobb Hi there, could you please DM us further info and we'd be happy to help! :)",positve,1
229,@24gooch on way my boy! :),positve,1
230,@graphure I hope you will get a lot of nice gifts :D,positve,1
231,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x40",positve,1
232,#FollowFriday @ACBM_SECEM @DCarsonCPA_NYC @PromosalonsInfo for being top supports in my community this week :),positve,1
233,So True!!  :)  https://t.co/N2ORwrOwhD,positve,1
234,I added a video to a @YouTube playlist http://t.co/09GuSuMrNb im back on twitch and today it going to be league :) - 1 / 3,positve,1
235,@ZarlashtFaisal @Tabinda_Samar Sethi was HIGH ??? :),positve,1
236,@IAm_Lennox exe skeem saam :),positve,1
237,These are the people who make me smile. :) @_pumpchkin_ @aka_pump @LilfrenchMsp @_Lishielou908_ http://t.co/iDdtACkA4K,positve,1
238,@CoSchedule Thanks for the invite. :),positve,1
239,"@SyedIHusain polite izzat :) 
wese does she trust him? khawateen k sath selfies say to mana kar deya :)",positve,1
240,Thank you @MovieTubePW that's my Friday evening sorted :-),positve,1
241,@nova_caneeee you smart :))),positve,1
242,@vaalthepal :-) nice hair tbh,positve,1
243,5 years :) https://t.co/hJEhDmxuu9,positve,1
244,jacob will there be a m&amp;g upgrade??:-),positve,1
245,@heydonworks Nice tee man :),positve,1
246,Happy family vacation .. :D [pic] — https://t.co/HL0Fw8msf1,positve,1
247,some sleep would be nice :-),positve,1
248,"If you're reading this, you're beautiful. 
Like this if you just read this :)",positve,1
249,Talking to One person .... Having Two Conversations :)))))))),positve,1
250,skype was fun :-),positve,1
251,@SoggyStones should be online :),positve,1
252,...because it's Friday :D (y) http://t.co/6rA4ZlpjO9,positve,1
253,#FollowFriday @CCIFCcanada @AdamEvnmnt @boxcalf1 for being top engaged members in my community this week :),positve,1
254,Something to get your #Friday off to a great start :) Have a great day all! #Mclaren #FridayFeeling #TGIF http://t.co/LshgwcXsSv,positve,1
255,@AvinPera  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),positve,1
256,square enix bissmillah ya Allah :),positve,1
257,@SephtonMark we're training #SocEnt startups at @TobaccoDockLon this week w/ @HelpingB - we'd love to have you drop in if youre arnd town :),positve,1
258,@HGVWolfie Basically you piss in a cup and they test it :))),positve,1
259,@ellenRstewart where are you off to next? :),positve,1
260,"@IonSwitz @notch also, Twitter is terrible for complicated discussions :)",positve,1
261,Snapchat me : LynetteLowe #snapchat #kikmenow #snapme #hot #snapchat #amazon #kikmeguys :) http://t.co/kd54m2IAm6,positve,1
262,I am not looking forward to a 12 hour shift today :)))))),positve,1
263,@ely83_ely definately agree that it's a growing sport. Drop me an email with details and we can see what we can do :-),positve,1
264,My last rt is me :),positve,1
265,...and the Rakyat will keep visiting your blog and reading your writing :) https://t.co/IMRy2BXuzd,positve,1
266,@ryan2390 ever since I mentioned fly fishing the other day I'm getting follows and promoted posts about it lol cyber stalked! :-),positve,1
267,@Gurmeetramrahim #OurDaughtersOurPride #mypapamypride Proud of You Papa Coach :),positve,1
268,@imarpita it was great talking to you :D,positve,1
269,@awaismarwat2011 never see positive kha u could also mention atleast they are going :),positve,1
270,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x39",positve,1
271,@_pigglywiggly @Omundson The mango lassi's from Monty's are marvellous :D. Though I suspect that's not what you meant....,positve,1
272,#FollowFriday @StayfanChemin @CCI_75 @aandreup for being top influencers in my community this week :),positve,1
273,@Thakurain_ Haha. Yes. I have 24 hrs. The time has come to touch the Kepler 452b. Chalna hai ?? :D,positve,1
274,@iyah_mohamad  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),positve,1
275,@allygrrdo thankyou pretty! :),positve,1
276,"@PinkPeoniesBlog @helloprettysa definitely the Hazel Food Market in Brooklyn, Pta :) &gt;&gt; http://t.co/ySQkhNDo2B",positve,1
277,still awake :)))),positve,1
278,@joiredve okayy :D,positve,1
279,Awww thank you :)  https://t.co/9tSQv2DWVm,positve,1
280,@AR1961 ha! That does not surprise me in the least! Okay but will see doc this afternoon. Yorkshire is splendid though! :) xx,positve,1
281,@JRTurnerPhoto @davidqueenan @jameslturnbull spam folder: WOW! I have won a huge amount of $ I just need to travel to Nigeria to claim it :),positve,1
282,@PERKSOFNIALLJH RTed! Good Luck :),positve,1
283,My legs hurt so bad :)))))))))))))))))),positve,1
284,@johnny_lopez96 I get mine Saturday :-)))),positve,1
285,@imafaithreyes thaaanks! December puhon. :)),positve,1
286,happinessss~!! :))  https://t.co/slOn63OUeS,positve,1
287,@VaibhavVj78 @PayUmoney True that. Can you change TnC without prior notification? I could have used them last night. :-),positve,1
288,https://t.co/gYx34VfmkK and I  probably only find this funny at 2:22 am :-),positve,1
289,@aliyaskates @yoshihikomkm Fat cos he probably ate Yuna :D :D :D,positve,1
290,@emmajaneparsons @CuriousMindsNW Have fun in Tameside :)),positve,1
291,@hydrcted what :-) did :-) i :-) do :-?,positve,1
292,@CharmingJedward you´re welcome!! :),positve,1
293,My Google+ account. :) http://t.co/R8jyDxlQyo,positve,1
294,@2SHYMC and they call scousers for everything! Hope you and Zoe are well mate :),positve,1
295,@RachelEvans_28 RIGHT!!!!!! I literally was like maybe u should get people who actually know what they're doing :-) @StudentTrip,positve,1
296,"|| Sameee~ 

Rest well :) https://t.co/T6ZCo4NxDG",positve,1
297,@EdgarsLame happy birthday Edgar! I hope you have a good one and keep updating your travel log :),positve,1
298,"Hello :D
@VikkFollows @Vikkstar123",positve,1
299,@MarreyJewAna bring Abes :),positve,1
300,Stats for the day have arrived. 2 new followers and NO unfollowers :) via http://t.co/xxlXs6xYwe.,positve,1
301,someone talk to me :)),positve,1
302,i will never be the same if we ever meet again :D,positve,1
303,@BBCSport come on man :D :D,positve,1
304,@prettyden15  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),positve,1
305,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x38",positve,1
306,@LivelyKaty *sighs dreamily at that pout and those 'come to bath' eyes!* :-) #quacketyquack,positve,1
307,@_sunshinehoran_ happy birthday love :),positve,1
308,@Brianscrooks @burwellitltd @manfrotto_tweet Cheers :-),positve,1
309,Funny how that happened when Phil was here too : ),positve,1
310,@WMFireDogs I'd call 'em Del &amp; Rodders :) What else!,positve,1
311,"@ForkH Hi, may you like play my newest gamejam game, i would be very happy about it :) http://t.co/8J5voDDHcs",positve,1
312,This is great! Irish literature is really inaccessible to most of us without Irish :),positve,1
313,@BhaktisBanter @PallaviRuhail yeah! This is fun :) #FlipkartFashionFriday,positve,1
314,Nice music :) Check it out! http://t.co/PEjHsORGrk,positve,1
315,@_xRiya Strange Kareena's Fans Not Knowing Kareena's Fans :),positve,1
316,Hello :) Get Youth Job Opportunities follow &gt;&gt; @tolajobjobs @e1d4c8e25ec844c,positve,1
317,better :),positve,1
318,@ArtForCause Cool. Will look for you there. :),positve,1
319,:)) beautiful http://t.co/F8V3McI39e,positve,1
320,"I'm playing Brain Dots : ) #BrainDots
http://t.co/cHl12JvuxN http://t.co/GGgU9PYEjI",positve,1
321,@ScreamQueenLR That's fair enough :) I wouldn't rush back either.,positve,1
322,Brandi 18 on my FB DROP A SELFIE :) was fun https://t.co/TRoroeS4FK,positve,1
323,@kthrnbyln  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),positve,1
